id,image,subject,predicate,object,verdict (y/n),notes
1,001.png,cube10,to the right of,bottle5,y,
2,002.png,cube6,behind,cube5,y,
3,003.png,book5,under,cube2,y,
4,004.png,cube5,on,box13,y,
5,005.png,book3,on,box4,y,
6,006.png,box4,behind,book6,n,
7,007.png,box1,in front of,book2,y,
8,008.png,cube4,in front of,human2,y,
9,009.png,box7,near,cube9,y,
10,010.png,remote15,near,book4,y,
11,011.png,cube6,near,bottle1,y,
12,012.png,bottle3,near,human7,n,
13,013.png,box0,to the left of,box1,y,
14,014.png,bottle1,behind,box0,y,
15,015.png,book2,on,book8,y,
16,016.png,bottle1,under,book0,y,
17,017.png,remote7,behind,box0,y,
18,018.png,cube3,on,remote4,n,
19,019.png,book1,under,box0,y,
20,020.png,book9,to the left of,cube11,y,
21,021.png,remote4,under,bottle2,y,
22,022.png,box0,near,cube3,y,
23,023.png,book0,in front of,bottle5,n,
24,024.png,remote7,behind,bottle2,y,
25,025.png,box1,under,book0,y,
26,026.png,bottle1,on,bottle2,n,
27,027.png,cube4,under,box5,n,
28,028.png,cube2,to the right of,remote5,y,
29,029.png,book11,near,cube12,y,
30,030.png,bottle7,on,box3,n,
31,031.png,cube11,in front of,book3,y,
32,032.png,cube7,in front of,book11,y,
33,033.png,box1,under,cube2,y,
34,034.png,book2,to the right of,bottle5,y,
35,035.png,box1,under,book0,y,
36,036.png,cube4,on,book7,y,
37,037.png,cube7,under,cube6,n,
38,038.png,box5,on,book0,n,
39,039.png,cube8,on,cube10,y,
40,040.png,box2,near,bottle0,y,
41,041.png,book3,to the left of,book0,y,
42,042.png,cube12,on,book11,y,
43,043.png,book3,in front of,human4,y,
44,044.png,cube13,behind,book11,y,
45,045.png,book2,to the right of,book10,y,
46,046.png,box3,near,human9,n,
47,047.png,book3,to the left of,cube9,y,
48,048.png,box3,under,bottle8,n,
49,049.png,book2,on,cube5,n,
50,050.png,book4,to the right of,book8,y,
51,051.png,human12,to the left of,cube7,y,
52,052.png,bottle0,in front of,cube8,y,
53,053.png,book1,to the right of,human13,y,
54,054.png,bottle1,in front of,remote4,n,
55,055.png,book4,to the left of,bottle8,n,
56,056.png,remote14,to the left of,cube10,y,
57,057.png,human1,behind,human0,n,
58,058.png,human6,to the left of,cube0,y,
