id,image,subject,predicate,object,verdict (y/n),notes
1,001.png,cube9,behind,box6,y,vlm:gemini-3.6-flash
2,002.png,cube6,to the left of,cube2,y,vlm:gemini-3.6-flash
3,003.png,bottle5,in front of,book2,y,vlm:gemini-3.6-flash
4,004.png,book1,near,bottle2,y,vlm:gemini-3.6-flash
5,005.png,bottle5,on,remote7,n,vlm:gemini-3.6-flash
6,006.png,bottle6,behind,cube9,y,vlm:gemini-3.6-flash
7,007.png,book5,on,box6,y,vlm:gemini-3.6-flash
8,008.png,bottle2,on,cube3,n,vlm:gemini-3.6-flash
9,009.png,remote14,to the right of,book2,y,vlm:gemini-3.6-flash
10,010.png,bottle11,to the right of,box6,y,vlm:gemini-3.6-flash
11,011.png,human10,behind,book9,y,vlm:gemini-3.6-flash
12,012.png,box3,under,book2,y,vlm:gemini-3.6-flash
13,013.png,book3,under,bottle7,n,vlm:gemini-3.6-flash
14,014.png,book4,near,bottle8,y,vlm:gemini-3.6-flash
15,015.png,human1,behind,cube4,y,vlm:gemini-3.6-flash
16,016.png,cube10,to the right of,book0,y,vlm:gemini-3.6-flash
17,017.png,cube7,near,bottle1,y,vlm:gemini-3.6-flash
18,018.png,book7,to the right of,human12,n,vlm:gemini-3.6-flash
19,019.png,box1,behind,cube6,n,vlm:gemini-3.6-flash
20,020.png,bottle1,behind,cube9,y,vlm:gemini-3.6-flash
21,021.png,bottle7,near,cube6,y,vlm:gemini-3.6-flash
22,022.png,cube7,under,bottle8,y,vlm:gemini-3.6-flash
23,023.png,book5,on,box6,y,vlm:gemini-3.6-flash
24,024.png,remote4,under,cube6,y,vlm:gemini-3.6-flash
25,025.png,cube11,under,remote6,n,vlm:gemini-3.6-flash
26,026.png,box10,under,box8,y,vlm:gemini-3.6-flash
27,027.png,cube2,to the right of,cube9,n,vlm:gemini-3.6-flash
28,028.png,cube8,behind,bottle2,y,vlm:gemini-3.6-flash
29,029.png,book4,in front of,human13,y,vlm:gemini-3.6-flash
30,030.png,box7,to the right of,cube9,y,vlm:gemini-3.6-flash
31,031.png,book9,to the right of,bottle11,y,vlm:gemini-3.6-flash
32,032.png,book0,to the left of,bottle2,y,vlm:gemini-3.6-flash
33,033.png,remote10,under,cube6,n,vlm:gemini-3.6-flash
34,034.png,book3,behind,cube10,y,vlm:gemini-3.6-flash
35,035.png,remote14,near,human12,n,vlm:gemini-3.6-flash
36,036.png,box7,under,cube3,y,vlm:gemini-3.6-flash
37,037.png,cube7,under,cube6,n,vlm:gemini-3.6-flash
38,038.png,book6,on,bottle5,n,vlm:gemini-3.6-flash
39,039.png,book8,on,box12,y,vlm:gemini-3.6-flash
40,040.png,bottle7,to the left of,box3,n,vlm:gemini-3.6-flash
41,041.png,cube11,in front of,bottle1,y,vlm:gemini-3.6-flash
42,042.png,cube7,to the right of,box5,n,vlm:gemini-3.6-flash
43,043.png,book2,in front of,cube9,y,vlm:gemini-3.6-flash
44,044.png,remote1,under,cube6,y,vlm:gemini-3.6-flash
45,045.png,book14,near,box6,n,vlm:gemini-3.6-flash
46,046.png,bottle5,near,book4,y,vlm:gemini-3.6-flash
47,047.png,human9,behind,bottle5,y,vlm:gemini-3.6-flash
48,048.png,book0,near,book4,y,vlm:gemini-3.6-flash
49,049.png,book5,on,box4,n,vlm:gemini-3.6-flash
50,050.png,box1,under,bottle3,n,vlm:gemini-3.6-flash
51,051.png,remote4,under,bottle2,y,vlm:gemini-3.6-flash
52,052.png,cube9,on,bottle5,n,vlm:gemini-3.6-flash
53,053.png,cube8,on,book4,y,vlm:gemini-3.6-flash
54,054.png,bottle1,to the left of,cube0,y,vlm:gemini-3.6-flash
55,055.png,remote14,on,cube11,n,vlm:gemini-3.6-flash
56,056.png,bottle8,on,box3,y,vlm:gemini-3.6-flash
57,057.png,cube5,on,remote6,y,vlm:gemini-3.6-flash
58,058.png,cube8,on,cube11,y,vlm:gemini-3.6-flash
59,059.png,book7,under,cube14,y,vlm:gemini-3.6-flash
60,060.png,cube8,to the right of,bottle5,y,vlm:gemini-3.6-flash
61,061.png,bottle8,on,cube5,y,vlm:gemini-3.6-flash
